state,sex,year,name,count
DC,M,1972,Melvin,17
PA,F,2000,Lucy,32
WA,M,1986,Jerome,9
IN,M,2003,Brenden,35
CA,F,1990,Vera,14
NY,F,2013,Estelle,16
CA,F,1963,Gail,281
MI,F,1920,Reta,8
CA,F,1961,Tisha,8
CO,F,1974,Nadine,6
RI,M,1946,Lewis,8
TX,F,1954,Dinah,20
NM,F,2009,Ella,26
LA,M,2010,Waylon,16
MI,F,1990,Jaimie,21
WI,M,1995,Jack,83
UT,M,2002,Luis,60
GA,F,1947,Ira,15
FL,F,1994,Mikaela,31
TX,M,2003,Braden,217
OH,M,1982,Stacy,6
HI,M,1921,Benjamin,15
WV,F,2005,Kennedy,11
SC,F,1923,Era,6
ND,F,1973,Holly,22
NC,M,1921,Duncan,5
AL,M,2008,Baylor,8
MD,F,2005,Aurora,14
NY,F,1919,Theda,17
PA,F,1981,Dena,29
MO,F,2016,Tamia,9
CA,F,1992,Rosana,17
GA,F,2009,Abbygail,8
IL,F,2017,Brylee,18
CO,M,2006,Zechariah,7
ME,M,1970,Alan,27
OK,F,1945,Gayle,24
NJ,F,1992,Jennifer,641
PA,M,2008,Ivan,48
TX,M,2015,Carson,402
OR,F,1963,Janell,6
HI,M,1949,Neil,7
TN,M,1921,Frank,317
CT,M,1982,Tyron,9
FL,F,2011,Kaliana,5
ID,F,1993,Bethany,11
OR,M,1994,Alec,41
CO,F,1932,Anita,21
NY,M,1915,Vernon,75
PA,M,2016,Keegan,56
MI,M,1953,Reginald,77
NY,F,1989,Lakia,9
PA,F,1911,Olive,100
NY,F,1981,Candice,196
NC,F,1945,Reatha,12
ND,F,1925,Frieda,9
ID,M,1931,Boyd,13
ND,F,1987,Brooke,22
FL,F,2007,Kaely,5
CT,F,2009,Sasha,25
MA,F,1996,Lucia,8
SD,M,1962,Marlon,5
KY,M,1965,Herbert,31
MD,F,1971,Lachelle,6
TX,F,2004,Hadyn,5
NJ,F,1974,Clarissa,5
MI,M,1954,Todd,78
NE,M,2007,Shaun,5
WA,M,2015,Alexis,25
IN,F,1968,Bernadette,9
WY,F,1978,Tiffany,23
MS,M,1925,Author,5
AR,F,1918,Alene,12
HI,F,1973,Raelynn,5
MO,M,2013,Phillip,30
WA,M,1995,Jake,88
IL,M,1980,Lionel,22
UT,M,1982,Ricky,10
MI,M,2004,Gino,9
NC,M,1923,Larry,19
CA,M,2007,Boden,16
NC,M,1950,Myron,10
TN,F,1914,Mayme,19
NY,F,2012,Fabiola,9
GA,M,1978,Keith,143
FL,F,1990,Audriana,8
IA,F,2005,Kara,20
OR,F,1941,Ruby,9
KS,M,1922,Dean,64
MI,F,1988,Marlana,6
IL,F,2011,Halo,5
NJ,M,1997,Davon,24
WV,M,2000,Tanner,45
KS,F,1983,Victoria,50
FL,M,2006,Noe,22
OH,F,1996,Nadia,22
OK,M,1937,Garry,6
OH,M,1968,Robert,3358
SC,M,2007,Trenton,53
IL,F,1946,Zelma,5
TX,F,1950,Lessie,7
IA,F,1984,Christa,13
NC,F,2009,Sutton,5
MA,F,2008,Cadence,22
IN,M,2001,Dennis,30
CA,M,1920,Jiro,7
OR,M,1987,Lincoln,5
KY,F,1989,Tasha,30
LA,F,2012,Emilie,8
IA,F,1932,Constance,28
ND,M,1952,Wade,5
OK,F,2010,Hadley,59
LA,M,1970,Melvin,73
WY,M,1936,Daniel,7
CA,F,2005,Deja,37
NM,M,1994,Carlos,70
NY,M,1991,Dillan,6
ID,M,1990,Luke,19
TX,F,1914,Caroline,9
CA,M,2005,Nicholas,1821
NM,F,2000,Lacey,6
UT,M,2000,Kyler,42
NJ,M,2002,Yousuf,6
IN,F,1970,Freda,5
OK,F,1982,Wanda,9
NC,F,2008,Bethany,43
MI,F,2002,Jana,20
KY,M,1911,Anthony,6
AL,M,2016,Nathaniel,31
NC,F,1946,Corine,6
SC,M,1911,Will,20
IN,F,1986,Holly,148
GA,F,2008,Amiracle,13
SC,F,1948,Rachel,61
MS,M,1962,Max,5
AL,M,1998,Marco,6
IN,F,2015,Arianna,77
IL,F,2015,Demi,18
IL,M,1963,Christian,26
GA,M,1915,Wilton,8
SD,F,1917,Elva,9
CT,M,1952,Stephen,321
MI,M,2003,Ethan,859
OK,M,1930,Bud,10
TX,F,1923,Bobby,25
TX,F,1946,Jacqueline,86
IL,M,1945,Kim,13
MT,F,2007,Kaitlyn,16
ID,F,1930,Roma,5
WI,F,1991,Desiree,41
AR,F,1952,Nona,9
UT,F,1927,Violet,8
TX,F,2017,Persephone,21
OR,F,1957,Vera,5
MD,M,1912,Paul,58
NE,F,1982,Donna,5
PA,F,1996,Jasmin,20
MA,F,1998,Holly,42
MI,F,2016,Letty,8
AL,M,1983,Xavier,14
IN,M,2014,Ekam,5
AL,M,1970,Larry,248
WI,M,1943,Wendell,8
NH,M,1966,Joseph,75
IA,M,1989,Billy,6
CA,F,2009,Amor,7
TX,F,2006,Jaylie,6
CT,F,1910,Clara,25
TX,M,1941,Heriberto,12
SD,F,1920,Beryl,6
KS,M,1927,Leroy,88
IA,M,1960,Craig,319
ID,F,1988,Mindy,8
IL,F,1997,Kaylan,22
TX,F,1922,Paul,5
TN,F,1938,Patti,7
GA,F,2014,Lailah,27
HI,F,1940,Loretta,19
VA,F,1965,Lynette,23
SD,M,1936,Gary,53
OR,M,1922,Edwin,32
NJ,M,1992,Jahlil,5
TX,F,1990,Juana,49
KY,F,1961,Tambra,7
OH,F,1948,Johanna,12
WA,F,2004,Genevieve,19
WI,F,1921,Lenore,28
NM,F,2005,Yoselin,5
NC,F,1989,Kaitlin,60
IN,F,2008,Hali,5
IL,M,2000,Ashwin,6
NY,F,1977,Carissa,27
TX,F,1999,Chelsy,10
FL,M,1948,Henry,239
CA,F,2016,Desi,5
IA,M,2014,Brayson,5
TX,F,2017,Ezra,23
CA,F,1971,Jenell,8
VT,F,1948,June,11
AZ,F,1974,Araceli,5
VA,F,1954,Lynette,8
NJ,F,1994,Sydney,78
OK,M,1944,Larry,609
MA,F,1987,Cassidy,7
AL,F,1929,Arlene,7
FL,F,1978,Laurie,37
MN,F,2016,Brooke,39
NH,M,1928,Bruce,7
VA,M,1994,Kenny,8
NE,F,1916,Coletta,8
AZ,M,2009,Rowen,7
ID,M,1956,Jesse,8
UT,F,1986,Kristal,8
TN,F,2000,Kaylan,11
TN,M,1953,Eddy,7
ME,F,1933,Elinor,9
TN,F,1992,Meghan,49
MS,F,1949,Rosie,268
MA,M,1955,Bennett,7
NJ,F,1956,Hilary,6
OH,F,1998,Sheyenne,5
LA,M,2015,Karson,64
GA,M,2007,Cassius,5
CA,F,1978,Sasha,63
NC,M,1949,Odis,5
GA,M,1966,Stephen,284
CA,M,1962,Miles,55
ME,M,1959,Paul,204
MO,M,1943,Aaron,15
IN,M,1999,Moses,7
LA,F,2016,Briana,11
KY,M,1937,Phil,7
NM,F,1965,Deana,8
CA,M,2014,Marcell,13
OH,M,1922,Myron,57
IN,M,1990,Greg,6
PA,M,1957,Michael,5748
SC,M,2002,Christian,174
MA,F,2015,Alannah,7
KY,F,1952,Carleen,5
VA,M,1966,Darren,69
FL,F,1995,Joana,7
OH,F,1958,Justine,24
NJ,M,1959,Ray,46
MS,F,1963,Vera,36
PA,F,1943,Annabell,6
CA,M,2012,Davin,39
MI,F,2006,Janessa,12
NY,F,1948,Tracey,8
SD,F,1916,Effie,9
WY,F,2003,Mariah,10
KS,M,1919,Sterling,5
MS,F,1943,Vera,63
ND,F,1939,Patsy,10
OK,M,1937,Arlie,5
MI,F,1970,Lyn,8
WA,M,1948,Samuel,45
WI,F,2001,Kailey,29
LA,M,2000,Lane,43
IN,M,2005,Chase,142
MI,M,1930,Blaine,5
MO,M,1978,Don,17
GA,F,1978,Tamecia,5
TX,F,2014,Kaylani,10
GA,F,1956,Glenda,196
CO,F,1998,Mollie,10
WV,M,1994,Travis,94
FL,M,2007,Damion,18
TX,M,2017,Stryker,9
MN,F,1926,Maxine,92
IL,F,1989,Nikita,27
CA,M,2004,Maurilio,5
MS,F,1914,Fay,8
NE,F,1948,Dolores,11
SC,F,1984,Casey,58
CA,M,1992,Orion,15
NC,F,1987,Rosa,13
SC,M,1962,Johnny,200
MI,F,2011,Amya,20
TX,F,1957,Caryn,9
AR,M,2016,Martin,7
NC,M,1924,Gaston,11
KY,F,1985,Penny,5
NY,F,1995,Concetta,6
VT,F,1996,Taylor,44
OH,F,1976,Karin,17
CO,F,2007,Clare,7
KY,F,1992,Katelyn,99
MI,F,2001,Rachelle,17
OK,M,1927,Lee,108
WI,F,2016,Aminah,7
OK,M,2006,Leonardo,21
NY,F,2017,Devoiry,9
IL,M,1949,Rex,62
MD,M,1996,Liam,44
NY,F,1965,Tia,13
MO,M,1988,Pierre,9
FL,F,1988,Zana,5
CA,F,1998,Amorette,5
NV,M,2001,Damani,5
TX,F,1982,Leilani,9
GA,F,1957,Esther,23
NJ,M,1918,Louis,379
IA,M,1932,Wilfred,5
MI,F,1951,Leona,19
KY,F,2013,Annabel,5
CA,F,1974,Mendy,15
TN,M,2001,Jaylan,20
VA,F,1946,Marguerite,12
WV,F,1912,Ella,25
PA,M,2008,Giancarlo,9
AR,M,1935,Elmer,44
TN,M,1984,Roger,55
IL,F,1992,Mari,8
NC,F,2005,Eva,63
TN,M,1929,Jewell,9
AL,M,1975,Rocky,6
AZ,F,1991,Shanda,5
IL,F,1973,Alexandra,37
ME,M,1923,Jean,10
OH,F,2011,Krista,9
NJ,F,1979,Ryan,11
NY,F,1983,Romina,5
GA,F,1977,Leticia,9
HI,M,1975,Wesley,6
VA,F,1955,Janis,20
MA,F,1990,Imani,5
TX,F,2005,Mckenna,141
KY,M,1927,Alfred,46
OR,F,2013,Vivian,38
NC,M,2003,Ismael,18
CA,F,1994,Jenna,427
NC,M,2003,Bryon,6
OH,F,1988,Kirstin,10
OH,M,1973,Kent,33
WV,F,1925,Macie,6
NY,M,1947,Erick,5
GA,F,1940,Zelma,11
NY,F,1953,Nancy,2832
KS,F,1964,Valarie,12
CO,F,1911,Christine,9
AZ,F,1952,Maxine,10
TN,F,1936,Ida,57
IL,F,1977,Terese,8
NJ,M,2017,Rodney,5
NM,M,1955,Alvin,15
AZ,M,2002,Aydan,5
WY,F,1913,Marjorie,7
VA,F,1965,Rosemary,17
WV,F,2007,Kyla,5
PA,F,1927,Anastasia,18
MO,F,1985,Mary,239
OH,M,1952,Kenton,7
AZ,M,1950,Louie,5
TX,F,2005,Sabina,9
AL,F,1959,Trudy,6
CA,M,1930,Miguel,43
NY,M,1973,Idris,8
NY,M,1976,Elmer,9
CA,M,1966,Clemente,9
NY,M,1912,Reuben,30
MA,F,1957,Kimberlee,8
VA,F,1932,Emma,138
TX,M,2004,Bradley,132
AL,M,1981,Bryant,21
ND,F,1937,Margaret,75
VT,F,1986,Tracy,7
KS,F,1978,Lora,7
SC,M,1993,Stacy,9
GA,F,2015,Annabel,8
IL,M,1978,Malcolm,13
CA,M,1945,Dale,288
FL,M,2002,Zeke,5
VA,F,2000,Gia,7
AZ,F,2005,Deja,5
MI,F,1958,Ginger,26
AR,F,1985,Susan,23
OH,F,2006,Sophie,79
OR,F,1988,Ashlee,26
AK,F,1965,Robin,32
TX,M,2001,Austin,951
CO,M,1958,Ronnie,55
NM,M,2002,Jace,8
OH,M,1974,Taylor,6
FL,F,2008,Adisyn,5
CA,F,1982,Tiffiny,9
MD,M,1993,Clinton,8
IL,F,1997,Tatianna,19
PA,F,1956,Melva,6
NC,M,2011,Victor,64
ME,M,1926,Burton,6
SC,F,1988,Belinda,9
NJ,M,1999,Samir,20
MS,M,2009,Shawn,15
OH,M,1966,Ruben,17
TX,F,2017,Emberleigh,9
NE,M,1935,Anthony,10
WV,M,1975,Brandon,42
AR,M,1955,Randell,5
NV,M,1993,Antonio,23
TX,F,2015,Briley,31
NM,M,1946,Pat,24
DC,M,1985,Daryl,11
OH,M,1971,Domenic,5
CA,M,2007,Laith,7
MT,F,1961,Loretta,8
IA,M,1992,Kelly,10
KS,F,1932,Waneta,7
HI,M,2014,Felix,8
MS,M,2013,Slade,8
AL,F,1918,Rachel,56
TX,F,1988,Naomi,107
