state,sex,year,name,count
FL,F,1979,Shereka,5
GA,M,1923,Hamilton,6
DC,F,1957,Glenda,16
IL,F,2014,Paola,27
AL,M,1938,Micheal,6
MT,M,1925,Lloyd,34
NJ,F,2002,Monique,14
MI,F,1999,Magdalena,6
TX,M,1922,Rayford,22
TN,M,1995,Kelvin,15
OR,F,2003,Fayth,5
TX,M,2004,Daylen,12
PA,F,1981,Rena,12
CO,F,2001,Taylor,249
TN,F,2008,Kaydence,40
IL,F,2003,Jaycie,5
NY,F,1960,Marianna,14
CA,M,1963,Bennett,22
FL,M,1992,Devyn,8
WA,F,2009,Helena,11
WI,M,1958,Glenn,90
PA,F,2010,Ema,9
HI,F,2012,Kaia,13
CT,M,1959,Leslie,14
IL,F,1961,Ethel,26
NC,M,2016,Langston,22
CO,F,1959,Lorrie,17
NY,F,2003,Kiki,5
TX,M,1997,Leon,21
OK,M,1955,Galen,6
AL,M,2005,Demetrius,13
PA,M,2006,Hayden,239
NC,M,1973,Ronnie,118
DC,F,1956,Sherry,39
NC,F,1993,Eboni,12
CA,F,1984,Daysi,10
IL,F,1921,Lucile,28
WA,F,1999,Celeste,19
NY,F,1922,Jean,1132
TX,M,1981,Tucker,13
CO,F,1972,Jenny,37
CA,F,1997,Michelle,1359
PA,M,2006,Melvin,41
ME,M,1959,Ted,5
AR,F,1965,Reba,6
MO,M,2005,Paul,60
MI,F,1992,Hailee,16
UT,M,1938,Roger,42
WV,M,2009,Issac,9
NC,F,2015,Joy,26
NY,F,1967,Tamar,16
TX,F,2002,Wanda,5
OH,F,1970,Marni,8
GA,F,1931,Geraldine,127
AZ,F,1985,Kristy,33
UT,M,2002,Declan,6
SD,F,1973,Misti,7
MS,M,1974,Ivory,5
MI,F,1980,Sherita,15
GA,F,1946,Hilda,45
CT,M,1946,Ronnie,10
KY,M,2010,Lucian,7
OR,F,1928,Julia,6
MO,F,2011,Isis,5
IN,F,1980,Meredith,29
GA,F,1960,Lelia,8
MI,M,1986,Alfred,20
CA,F,2009,Keely,14
AZ,F,1989,Alexia,14
SC,M,1965,Vernon,38
KY,M,2010,Walter,14
SC,M,2004,Darrell,9
TN,F,1990,Mara,10
IN,F,1941,Lee,10
SD,F,1914,Erma,7
CT,F,1995,Karina,18
MA,M,1993,Giovanni,25
KY,F,1936,Marie,95
TX,M,2005,Emery,10
MD,F,2016,Shiloh,7
TX,F,1989,Jalessa,6
SD,F,1990,Amanda,103
GA,F,2003,Shanice,7
TX,F,2015,Norah,115
VT,M,1939,Richard,153
WA,M,1935,Chester,11
DC,M,1937,Hubert,7
FL,F,2006,Adrianna,129
LA,F,1972,Esther,6
VA,F,1997,Brittney,57
AK,M,1997,Chase,15
NJ,F,1944,Jean,264
AR,F,1954,Jana,15
CT,F,1980,Liza,9
UT,F,2006,Isabell,8
ND,M,1978,Justin,144
AZ,F,1943,Violet,9
GA,M,1941,Jacky,6
DE,F,1967,Victoria,15
KY,M,1949,Curtis,70
VA,M,1964,Willis,9
NV,F,1940,Marilyn,7
AZ,F,2012,Jessica,65
MA,F,1974,Ursula,9
NV,M,2015,Aidan,28
FL,M,2005,Jadon,38
MN,F,1919,Lauretta,9
NH,F,1994,Stacy,5
AZ,M,2008,Quinn,23
ME,F,1955,Christine,48
FL,M,2010,Avery,82
NY,M,1995,Trever,5
MA,M,1932,Patsy,9
MS,M,1996,Damarcus,7
WV,F,1986,Cara,14
TX,F,1951,Stacey,6
PA,F,1967,Kami,6
MS,F,1948,Wilma,40
TX,M,2016,Zachariah,87
RI,F,1973,Ashley,5
FL,M,2008,Cedrick,11
VA,M,1983,Marc,28
MS,F,1934,Virgie,29
CA,F,2001,Dana,112
CA,F,1993,Belinda,76
WI,F,1934,Rosetta,7
OR,F,2013,Anabel,6
DC,M,1975,Gary,28
OK,M,1967,Derek,23
OR,F,1970,Cassandra,22
WV,M,2000,Kameron,6
KY,M,1970,Ralph,31
OK,M,1963,Scott,298
OR,M,1995,Grayson,8
IN,F,1971,Candice,32
MI,M,1926,Myron,38
TX,M,1982,Amador,10
GA,F,2017,Rylee,100
NC,F,1987,Loren,7
CO,F,1975,Sylvia,9
GA,M,1963,Jerrell,7
IL,M,2005,Cyrus,14
AR,M,1923,Verlon,18
CA,M,2002,Jonathan,2725
CA,M,1939,Roy,201
CA,M,2017,Orin,7
KY,F,2006,Harley,27
PA,M,2006,Anson,7
VA,F,1960,Trudy,8
MI,F,1951,Leslee,8
IN,F,2006,Julie,27
KS,F,1966,Sara,27
IN,M,2011,Leland,39
NC,F,1918,Donnie,12
IA,F,1933,Opal,13
MI,F,2008,Ingrid,9
UT,M,1925,Allen,15
NJ,M,1979,Glenn,59
MA,M,1928,Brian,8
NJ,F,1979,Abigail,41
MO,F,1945,Holly,5
MD,M,1991,Darius,58
NM,F,1979,Diane,16
LA,M,1971,Edgar,23
NY,F,1982,Rosaria,6
OH,F,2014,Bryn,14
PA,F,2009,Leslie,21
NM,F,1978,Rosalie,5
GA,M,1960,Harrison,11
MI,F,1956,Coleen,21
AL,M,1976,Shane,55
MS,M,1947,Ollie,17
HI,F,1972,Melody,5
AL,M,1941,Albert,164
WY,M,1981,Clinton,14
CA,F,1979,Talia,40
OH,M,1981,Nolan,7
DC,M,2001,Logan,10
NM,M,1968,Jim,12
TX,M,2014,Gionni,7
MA,F,1971,Sylvia,18
MO,F,2008,Remi,8
PA,M,1959,Norbert,14
MT,M,1964,Marvin,9
NY,F,1986,Karina,84
AL,M,2003,Clayton,52
FL,M,2005,Rickey,11
VA,F,1937,Bruce,5
TX,M,1924,Seferino,13
ND,F,1953,Ramona,10
DC,M,1950,Joel,12
CT,F,1947,Thomas,5
MS,F,1970,Shanta,7
NM,F,1946,Mary,557
NC,F,1971,Jo,27
NM,F,1990,April,44
AL,M,1917,Augustus,8
VT,F,1979,Carrie,20
NY,F,2014,Jessenia,12
CA,M,2010,Aren,12
OK,M,2015,Karter,32
AR,M,1913,Roy,100
TX,F,1913,Dovie,17
WI,F,2002,Carolyn,24
IL,F,2010,Logan,17
VA,F,1988,Theresa,31
WA,F,1974,Jenelle,5
WI,M,1937,Harley,13
GA,M,2014,Memphis,17
RI,M,2017,Calvin,6
DC,F,1966,Sylvia,16
MA,F,2017,Renee,6
PA,M,1954,Leonard,372
RI,F,2017,Sophia,60
GA,M,1957,Lance,5
VA,F,1960,Velma,15
NY,M,1987,Saif,5
GA,M,2003,Brady,74
VA,M,1975,Lonnie,22
FL,F,1937,Marilyn,53
TX,F,1975,Danette,10
NE,M,1962,Kenny,16
IL,M,2016,Glenn,9
AL,M,1973,Lamar,17
MD,M,1938,Alvin,26
CA,M,1988,Curt,12
MI,M,2017,Ryan,179
AL,F,1987,Cassidy,5
