state,sex,year,name,count
NC,M,1950,Bob,16
MO,M,1972,Jake,5
OH,M,1989,Dino,5
GA,M,2008,Keenan,11
MS,F,1960,Allison,10
LA,M,2015,Caleb,124
KY,F,2015,Cataleya,5
CT,F,1980,Molly,21
MO,M,2015,Kyle,38
AL,M,1928,Maurice,18
OK,M,1974,Lee,25
AZ,M,1911,Frank,20
SD,M,1939,Frederick,5
CA,F,2005,Amora,5
MI,M,2004,Jamal,17
MD,F,1984,Danyell,5
FL,M,1989,Monte,8
HI,F,2000,Stephanie,9
OH,F,1939,Jackie,49
GA,F,2008,Madeline,142
OK,F,1930,Addie,9
AZ,F,2004,Pamela,19
CA,F,2000,Michayla,8
MD,M,1942,Wallace,20
PA,F,1999,Aurora,17
NJ,M,1915,Joesph,7
MO,F,2006,Edith,8
ME,F,1927,Marcella,6
MS,M,1980,Juan,5
CA,M,1934,Howard,139
SC,F,1933,Jaunita,6
UT,M,1949,Byron,12
VA,F,1989,Kathrine,5
WI,M,1934,Arvin,5
TX,M,1977,Roderick,86
LA,F,2004,Jaelynn,6
DC,F,1949,Virginia,57
ID,F,2010,Tenley,13
SD,M,2013,Westin,6
FL,M,2014,Andreas,6
TX,F,2017,Azul,25
LA,F,1985,Kayla,104
DE,M,2016,Shane,12
IL,F,1995,Yesica,6
OR,M,2001,Joseph,171
AL,F,2017,Avianna,5
TN,F,1935,Marianne,6
NJ,F,1980,Kimberley,19
IL,F,1997,Daja,18
MA,M,2007,Walter,14
TX,M,2012,Xander,136
AZ,F,2015,Ana,56
WA,M,2000,Emerson,6
MN,M,1941,Lavern,11
PA,F,2011,Anisa,8
NC,F,1925,Doris,544
MA,M,1935,Clarence,25
NJ,F,1996,Leigh,8
CT,F,1958,Sheila,77
KS,M,1915,Arthur,157
KS,F,2006,Laila,11
NY,M,2002,Neal,9
LA,M,2015,Edgar,9
OH,M,1916,Donald,677
OH,M,1920,Werner,6
TX,F,2005,Brittany,148
NJ,F,2016,Analise,7
NC,M,1962,Clark,19
WA,M,1976,Russell,33
RI,M,1929,Edgar,8
AL,F,2006,Kaitlin,17
TN,F,1978,Holly,150
FL,F,1944,Margie,45
WA,F,2007,Nya,7
KY,M,1955,Randell,13
MN,F,2015,Carly,21
OH,F,2014,Nahla,5
NY,M,1966,Valentino,6
AZ,F,2000,Moriah,10
NJ,F,1959,Vicki,74
IN,F,1993,Tyler,24
VA,M,1958,Marshall,41
CA,F,1955,Rayna,6
MI,M,2005,Giovanni,40
HI,M,1980,Travis,62
NY,M,1990,Sherif,6
IN,M,1961,Rance,7
NY,F,1958,Bridgette,10
MD,F,1949,Emma,16
CA,F,1956,Glinda,7
NY,F,1987,Athena,15
GA,M,2013,Omari,26
LA,F,1971,Anglea,8
IL,F,1920,Marilyn,80
FL,F,2013,Kayli,10
MI,F,1915,Margaret,845
RI,M,1923,Lawrence,28
TX,M,1989,Jazz,5
MA,F,1994,Brandy,5
AZ,F,1930,Beverly,15
MI,M,1951,Freeman,7
CT,F,2015,Jaelynn,6
NV,M,1963,Guy,13
MS,M,1969,Kevin,171
IL,F,1947,Bessie,11
GA,F,1932,Winnie,32
VA,F,1925,Eugenia,9
AR,F,1972,Tawana,5
IL,F,1941,Cleo,7
OR,F,1954,Faith,5
AZ,F,2003,Ayanna,21
VA,F,2008,Kaitlyn,150
TX,F,1988,Janna,22
GA,F,1947,Bennie,20
WV,F,1998,Hannah,221
PA,F,2012,Nahla,15
NY,F,1963,Edwina,17
CO,M,2016,Felix,35
CT,M,1978,Rui,5
MO,F,1991,Kalyn,6
CT,F,1990,Alexander,8
ID,F,1961,Jodi,10
MI,M,1951,Thurman,6
NY,F,1912,Ina,18
TN,M,1913,Houston,6
MS,M,1998,Clifton,8
WI,M,1981,Jackson,5
KS,M,1925,Maurice,36
CA,M,1987,Darriel,5
IN,F,1990,Suzanne,14
TN,F,1968,Lanita,5
OK,F,1924,Bettye,45
CO,M,2001,Ethan,274
CT,M,1968,Manuel,18
KY,F,1950,Maudie,6
MT,M,1984,Calvin,12
VA,M,2004,Elliot,19
NJ,F,1945,Violet,10
OH,F,1914,Elaine,25
TX,F,2000,Kirsten,108
MO,M,1943,Mack,6
CO,M,1917,Franklin,11
GA,M,2012,Dennis,28
OK,F,1941,Ruby,111
MD,F,1974,Towanda,36
TX,M,1973,Rudy,123
CA,F,1998,Kelley,24
PA,F,2014,Marisol,5
OK,M,1998,Maxwell,13
FL,F,1996,Ember,6
TN,M,1975,Tracey,10
WY,F,1934,Frances,21
TX,M,2002,Micheal,93
MI,F,2013,Henley,12
NM,F,1955,Jeannette,8
MI,F,1961,Shelli,7
OH,F,1916,Susan,35
GA,F,1960,Bettye,5
CA,F,1982,Altagracia,7
ME,M,1957,Russell,51
NY,F,2013,Dariana,15
MN,M,1993,Desmond,6
WA,F,1975,Julianne,12
TX,M,2010,Curtis,41
NM,F,1983,Teresa,26
TX,F,2001,Lana,24
MI,F,1931,Eleanore,17
NE,F,2008,Elle,5
CA,F,1949,Janeen,7
OR,M,2009,Dante,16
NV,F,1985,Shannon,24
CA,M,1942,Frank,799
AL,F,1917,Jeannette,6
IL,F,1988,Diane,52
MA,F,1917,Cleo,5
CA,F,1968,Roberta,164
WI,F,1928,Phyliss,5
MI,F,1964,Cherryl,5
GA,F,1960,Dolores,12
WI,F,1985,James,5
NH,F,1937,Eleanor,21
LA,M,1927,Karl,7
MN,F,1965,Kathryn,139
MO,F,1999,Hazel,6
CA,M,1929,Boyd,19
TX,F,1957,Edelmira,7
MD,M,2014,Marcelo,11
VA,F,1932,Ruby,261
NM,M,1989,Ernest,14
ND,M,1925,Ardell,7
IL,F,1939,Sara,65
ID,F,2006,Daisy,14
AZ,M,1995,Clyde,5
SC,F,1975,Jennie,14
MI,F,2009,Erika,19
IA,F,1967,Kimberly,466
AZ,F,1985,Cassie,21
WV,F,1968,Lorraine,5
MN,F,1961,Cecilia,7
OH,F,1944,Mable,8
VA,F,1994,Jeanette,6
FL,M,1927,Buddy,5
IA,F,1979,Kathy,18
CA,M,1992,Arin,5
FL,M,1993,Mitchel,15
NM,F,1952,Socorro,7
OH,M,2007,Nicolas,37
CA,M,2013,Aneesh,5
MI,M,1984,Raul,6
CA,F,1972,Toshia,5
WI,M,1942,Clyde,32
NJ,F,2006,Jaida,10
AK,F,1944,Martha,13
GA,M,2007,Leon,20
CA,F,2006,Shauna,7
CA,F,2016,Yeva,5
MS,F,1997,Kristen,72
IL,M,2002,Brandon,713
CO,M,1930,Ignacio,6
AR,M,1983,Leroy,5
OH,F,1987,Latoyia,5
CT,M,1939,Kenneth,113
WI,F,2007,Cecilia,27
MI,F,1982,Tarra,11
AL,F,1987,Audra,11
WV,M,2005,Nelson,5
WI,M,2003,Zachery,14
IN,F,1998,Tierra,10
IL,F,2004,Kayleigh,39
SD,F,2011,Natalia,5
NY,M,1931,Denis,15
CO,M,2002,Desmond,8
CT,F,1922,Dorothy,412
TX,F,1937,Ruthie,43
GA,M,1969,Antonia,9
MS,M,1951,Eugene,115
RI,M,2012,Marcus,11
CA,F,1945,Mildred,74
UT,F,1993,Kirsten,25
MS,M,1997,Kerry,6
NY,F,2009,Kamya,15
VA,M,1946,Odell,5
WV,M,1979,Sean,25
MN,F,1993,Nicolette,14
NC,M,2010,Carsen,5
KY,M,1967,Scot,5
WI,M,1989,Marquis,17
NY,F,1966,Matilde,5
PA,M,1972,Kent,24
ND,M,1947,Ernest,10
IL,F,1988,Shira,6
TX,F,1989,Alysia,22
PA,M,1954,Laurence,29
AL,F,1995,Payton,27
TX,M,1999,Kristian,52
TN,F,2011,Micaela,5
CA,M,2003,Favio,9
NY,F,2002,Aisha,49
MD,F,1947,Bernadine,9
NJ,F,2010,Journey,12
NC,M,1978,Luis,11
FL,M,1997,Rodney,72
CA,M,1986,Gabriel,765
NV,M,1985,Luke,7
CA,M,1945,Roy,342
NY,F,2016,Ashleigh,7
TX,F,1962,Zenaida,6
AL,F,1938,Mildred,209
OR,F,1947,Dona,5
NY,F,2012,Gwen,7
VT,F,1933,Elsie,6
CT,M,2011,Alan,13
NJ,M,1953,Bernard,92
IL,M,1992,Alfred,13
PA,M,1993,Deron,10
WA,F,1961,Dona,11
VT,F,1934,Hazel,10
OK,M,1922,Marion,78
DE,F,1933,Elizabeth,35
IN,M,1976,Kristian,5
HI,M,1959,Willie,6
NY,F,2011,Samyah,5
AR,F,1911,Billie,10
VA,M,1942,Julius,5
DE,M,1962,Raymond,22
OH,M,1928,Lauren,6
PA,M,2002,Elmer,21
NE,F,1980,Kristi,31
MO,M,1955,Dennie,7
HI,M,1981,Phillip,17
CO,F,1921,Joy,6
NC,M,2014,Jasiah,24
WV,M,1925,Frederick,44
OH,F,1977,Anna,176
ID,F,1983,Kayla,29
MN,M,1941,Frank,101
PA,F,1996,Kaitlin,120
OH,M,2003,Rashad,11
TX,M,2003,Rocco,10
MI,M,1954,Earl,118
CT,F,1945,Constance,32
MS,F,1914,Louise,164
TX,F,1928,Etha,6
CA,M,1979,Silverio,9
TX,F,1949,Jeanette,94
IL,M,1980,Mohamed,9
MI,F,1922,Amy,18
WV,F,1950,Rosalie,12
IL,F,1964,Tonie,5
GA,M,1967,Timmy,47
IL,F,1934,Bobbie,9
CT,F,2009,Heaven,9
IN,F,2014,Scarlette,8
WA,F,2003,Malina,8
MD,F,2013,Zahra,5
TX,F,1968,Elvia,30
WY,F,1926,Geraldine,12
LA,M,1923,Irvin,16
CT,F,1991,Tanya,12
MN,M,1974,Beau,6
CT,M,1920,Burton,21
MS,F,1998,Lynda,5
MO,F,1999,Stormy,7
MI,F,1937,Isabel,5
IL,F,1961,Trina,39
ID,F,1953,Diana,34
WI,M,2006,Jaylen,26
NJ,F,1987,Elyssa,7
CA,M,1995,Vinay,7
NH,F,1987,Tonya,10
WI,M,2012,Cristian,16
CO,M,1975,Kevin,184
DC,F,2014,Skylar,27
MA,M,1992,Ahmad,5
OK,M,1969,Alfred,16
NJ,F,2017,Sarina,15
WV,M,1976,Lawrence,16
UT,F,2011,Kaydence,16
NJ,M,1917,Isadore,11
SC,F,1967,Ashley,13
AR,F,2007,Tabitha,6
NC,M,2013,Matthew,347
GA,M,1915,Felton,35
OK,M,1989,Micheal,40
CT,M,1918,Seymour,10
MN,F,1953,Gayle,111
OR,M,2010,Armando,12
HI,M,2012,Frank,5
CA,M,1954,Doyle,30
MN,M,1991,Jayce,5
SC,M,1993,Alan,28
TX,F,1975,Janet,122
CO,F,2008,Fatima,26
OR,F,1986,Anna,111
OK,M,1956,Kirby,9
SD,M,1991,Chase,21
VT,F,1955,Vanessa,10
MD,F,1974,Ami,6
IL,M,1945,Ricky,23
TN,M,1965,Trent,13
CO,M,2008,Marques,8
OK,M,1963,Junior,5
MI,M,1994,Jajuan,10
CA,M,1997,Emmett,19
NY,M,1933,Nick,65
OK,M,1925,Mary,5
TN,F,1914,Jewell,30
AR,F,1950,Jan,16
FL,M,1967,Dwayne,107
LA,M,1975,Myron,16
MO,M,1958,Travis,8
TX,F,1956,Ramona,154
VA,M,1910,Leonard,25
MS,F,1979,Maranda,8
OH,M,1927,Pat,8
NY,M,1984,Paul,924
CO,F,2001,Maya,66
TX,F,1939,Jan,42
AR,F,1955,Addie,5
CT,M,2011,Chris,6
NE,M,1973,Jeffrey,241
NY,F,2012,Abby,34
WV,M,2012,Joseph,55
NC,F,1934,Winona,5
MI,F,2011,Anabelle,14
AZ,M,1949,Andrew,24
GA,M,1957,Andrea,6
NY,M,2009,Urijah,8
MO,F,2006,Tiffany,22
NY,F,2002,Adrian,5
MI,F,1997,Ryanne,6
NY,F,2000,Amrita,5
VA,F,1915,Ressie,6
KY,F,1994,Kathleen,16
CT,M,2013,Marco,17
HI,F,1923,Lydia,6
NY,M,1992,Jaison,6
LA,M,2009,Kayne,6
MS,F,1954,Clara,84
IL,M,2001,Javion,11
MT,M,1981,Andrew,84
MI,M,1937,Allen,111
CA,F,2013,Rylynn,16
NY,M,1975,Edward,817
MI,F,1980,Roshanda,5
NJ,F,1947,Darlene,123
OH,F,2003,Grace,720
VA,M,1926,Bill,34
NY,F,1998,Caterina,9
NY,F,2017,Kailee,19
FL,M,1973,Shayne,11
MI,F,1952,Nadine,42
IA,F,2016,Kayleigh,6
UT,F,1953,Rhonda,22
KY,M,1989,Victor,16
PA,M,2016,Lane,35
PA,F,1974,Margie,11
ME,M,1966,Stanley,10
MI,F,1921,Marguerite,136
WA,M,1993,Shawn,80
