state,sex,year,name,count
MI,M,2003,Osvaldo,8
OH,F,1949,Kitty,11
CA,M,1972,Roderick,43
NJ,M,1994,Luis,208
NE,F,1979,Barbara,13
LA,M,1943,Jan,5
SC,M,2004,Logan,146
MO,F,1976,Alyson,10
CA,M,1990,Walter,259
IN,M,1949,Miles,6
MN,M,2010,Hank,8
OK,M,2013,Cortez,6
NY,F,1990,Lisandra,9
MS,F,1924,Helena,7
TX,F,1961,Otila,6
IL,F,1959,Polly,26
OH,M,2015,Ameer,13
ND,M,1964,Danny,25
FL,F,2003,Eliza,22
IA,F,2015,Paizley,5
DC,F,1968,Robin,92
FL,F,2001,Adina,5
GA,F,1997,Tierra,37
NY,F,1980,Nakisha,8
IL,F,2002,Rianna,18
UT,M,1948,Leon,19
DC,F,1994,Ariana,7
AL,M,1928,Herschel,8
CA,M,1952,Darcy,7
MS,M,1986,Stephen,117
PA,M,1920,Thadeus,6
GA,F,1985,Janna,15
OH,M,2011,Braylan,6
NC,M,2004,Alexzander,6
AL,F,1929,Imogene,89
OH,F,1972,Joanna,72
MI,F,1917,Joyce,53
MD,F,1958,Caren,5
NY,F,1971,Tausha,5
LA,M,1976,Jarvis,8
RI,M,1947,James,352
HI,F,1991,Nina,8
OR,M,1944,Frank,64
MO,M,1944,Bobbie,15
MI,M,1937,Dean,49
VA,M,1963,Donnie,63
NH,M,1986,Brendan,18
NJ,M,2014,Dennis,20
KY,M,1958,Jake,5
AR,F,1914,Pansy,8
NY,M,1943,Reginald,61
PA,F,2000,Alysha,12
IN,F,1989,Juanita,7
MD,F,1970,Rose,35
AR,F,1928,Claudie,8
MA,M,1932,Richard,1720
OK,F,2004,Shaylee,10
IN,F,1970,Dee,10
WI,M,1918,Ellsworth,22
MN,F,1935,Dorene,6
UT,F,1924,Martha,15
PA,F,1994,Bryana,9
OR,M,1937,Ronald,189
CT,M,2004,Trent,8
MA,M,2012,Coleman,9
PA,F,1959,Ronald,5
TN,M,1948,Estel,7
WI,F,1975,Leanne,12
NH,F,1976,Samantha,18
PA,M,1995,Kaleb,28
CA,F,1953,Alane,6
TX,M,1967,Bret,41
SD,F,1977,Molly,15
OR,F,2012,Rubi,5
KY,F,1914,Virginia,266
WI,M,1966,Joshua,6
IL,M,1998,Antonio,305
IL,M,2004,Connor,504
NY,M,1983,Marshall,23
SC,F,2012,Madison,246
IL,M,1979,Terry,143
KS,M,1927,Marvin,136
NJ,M,1998,Milan,7
AZ,M,1986,Darryl,5
KS,F,1960,Jenny,17
VT,F,1926,Shirley,59
OH,M,1947,Dannie,11
ID,M,1992,Glen,5
MN,F,2004,Belinda,7
WA,M,1967,Jeffrey,557
SD,M,1984,Stephen,18
TN,F,1954,Reba,56
MN,F,1989,Brittni,18
WV,F,1955,Vanessa,48
CA,M,1965,Vernell,5
UT,F,1971,Ronda,11
IN,F,2011,Jadelyn,6
GA,F,1942,Madelyn,5
NY,M,2001,Shameek,7
KY,M,1985,Drew,22
CA,M,2017,Emile,15
IL,M,2014,Gary,12
GA,M,1970,Alan,82
KS,F,1956,Myra,14
TX,F,2010,Ambar,10
AZ,F,1979,Cheryl,59
SC,F,1968,Shannon,101
ND,F,1979,Samantha,19
MN,M,1974,Owen,6
WI,M,2012,Wayne,8
IN,M,1982,Jamie,36
IL,M,1988,Ronny,8
MN,M,1992,Brady,103
PA,M,1913,Salvatore,35
