state,sex,year,name,count
MS,F,1918,Carlee,6
OR,F,2000,Myah,5
CA,M,2010,Adriel,110
ID,M,1953,Gerald,50
CA,F,2012,Kaia,85
NY,F,1987,Marla,20
OH,F,1955,Bette,18
NJ,F,1940,Rae,12
TN,M,1969,Preston,10
TN,F,1966,Regenia,5
NY,F,2015,Zainab,41
IL,F,1945,Katherine,138
MT,M,2014,Hayes,5
IN,M,2013,Levi,216
GA,F,2006,Aleena,6
CA,M,1931,Marshall,18
TX,M,2013,Tristyn,12
TX,M,1924,Ruby,9
TX,F,2002,Martha,121
IA,F,1975,Randi,9
IA,M,1989,Jason,159
GA,F,1925,Vernell,12
PA,M,2003,Dale,29
IN,F,1996,Courtney,318
IA,M,2005,Konner,8
FL,F,1962,Nan,6
DC,M,1980,Bernard,13
DC,M,2010,Eduardo,6
UT,F,1947,Kaye,25
GA,M,1962,Wilbert,14
TX,F,2000,Madisen,29
SC,F,2014,Evie,10
MO,F,1969,Debby,6
MO,M,1996,Michael,662
UT,M,2017,Solomon,15
NY,F,1953,Melba,18
MA,F,1917,Ursula,16
RI,F,1918,Arline,5
UT,M,1985,Gavin,10
NM,F,1977,Janet,12
NY,F,1973,Shannan,8
KS,F,1991,Marissa,35
MI,M,1966,Chad,111
LA,M,2016,Emmitt,7
LA,F,1968,Kimberly,439
TX,F,1983,Oscar,5
TX,F,1931,Ollie,54
WI,M,1991,Ryne,13
AK,F,1996,Jamie,10
UT,F,1967,Ginger,7
MT,M,1911,Paul,11
TN,M,1923,Estel,11
NC,M,1914,Fredrick,13
MI,F,1957,Diann,25
MN,F,1941,Cora,5
GA,F,2012,Willa,12
PA,F,1948,Rose,408
IN,F,2010,Jaida,10
SC,M,1918,Murray,6
OK,M,1934,Harlan,7
WA,M,1951,Blake,5
AR,M,1952,Henry,108
CT,M,1981,Cory,12
NY,M,1951,Bryan,52
WA,F,1989,Tegan,5
MD,F,1984,Stacie,10
MD,F,2006,Alena,9
MO,F,1945,Elsie,18
NH,F,1913,Mildred,22
MA,M,1980,Mitchell,10
MD,F,1996,Tabatha,5
KY,F,1975,Tisha,8
CA,F,2004,Kristal,22
OK,F,1944,Anna,81
OK,M,1991,John,298
OR,M,1977,Tom,6
TX,F,1970,Ricardo,7
IL,M,1943,Patricia,5
PA,F,1913,Agatha,5
NC,M,2000,Justice,30
HI,F,1969,Hope,6
VT,F,1915,Anna,29
MN,F,1946,Becky,20
NY,F,1995,Clare,35
IN,M,2000,Zackery,27
UT,M,1994,Alec,69
NY,F,1956,Blanche,25
FL,F,1924,Rose,48
KY,F,1931,Irene,127
NV,F,1965,Theresa,23
NC,F,1957,Winifred,7
TN,M,1938,Randolph,5
TN,M,1944,Marcus,5
NY,F,2008,Dakota,66
DE,F,1917,Hattie,6
LA,M,1923,Hardy,13
UT,M,1980,Mario,7
NC,F,2017,Amoni,7
GA,F,1957,Katherine,131
OH,F,1985,Cara,70
WI,M,1968,Trevor,23
VA,F,2013,Susan,9
KY,F,1989,Andrea,149
NY,M,2006,Tate,7
IL,F,1973,Janette,18
TN,F,1916,Beverly,11
GA,F,2008,Kaniyah,13
NY,M,1996,Dallas,40
VA,F,1971,Leona,5
CA,F,2000,Baily,7
ME,M,1949,Bryant,6
MN,F,1944,Betty,233
AR,F,2007,Precious,6
AR,F,1912,Willia,5
NY,M,1981,Ajay,11
FL,F,2012,Amariah,8
NV,M,1965,Frederick,11
OH,F,1913,Rena,10
PA,M,1967,Clyde,27
PA,F,1971,Lara,35
OH,M,1996,Ridge,6
FL,F,2017,Ayleen,6
NJ,F,2015,Niva,5
WI,M,2006,Alonzo,7
OH,M,1981,Bennie,14
MA,M,1946,Lloyd,28
SD,F,1981,Stacie,5
IL,F,1918,Eleanor,705
LA,M,1989,Reginald,56
OH,F,2013,Samirah,7
CT,F,2011,Gianna,119
KS,F,1946,Delilah,6
VA,F,2004,Rory,7
MI,M,1974,Rashawn,6
UT,F,1961,Edith,8
WV,F,2016,Kylee,12
MN,M,1919,Milo,22
TX,F,1984,Eve,9
NE,F,2011,Mya,30
OR,F,2013,Iris,21
TX,F,1999,Kristyn,15
LA,F,1971,Gwen,10
LA,F,1968,Denita,5
VA,F,1951,Mildred,116
FL,F,1964,Ivette,10
TX,F,1988,Jeannie,13
CA,F,1985,Natosha,5
VA,F,1935,Jessie,32
KS,F,1946,Rosetta,5
VA,F,2016,Raya,6
AZ,F,2010,Layna,5
FL,F,1984,Alyssa,38
LA,F,1981,Miriam,9
NY,F,1955,Sharen,10
AR,M,1981,Cody,56
GA,F,1957,Zelda,6
AZ,F,1928,Ramona,18
TN,F,1971,Leann,11
NY,F,1963,Christopher,7
FL,F,2009,Angelyn,9
GA,F,1938,Gracie,34
IL,M,1970,Abel,16
IN,F,1923,Marguerite,51
CA,F,1998,Sadaf,10
VT,F,1911,Beulah,5
TX,F,1921,Elbira,5
KY,M,1976,Rico,9
