state,sex,year,name,count
VA,F,1991,Kasey,54
OH,M,1981,Gary,279
AZ,F,1946,Daisy,5
CA,F,1987,Rosita,11
OH,F,1950,Frieda,7
SD,F,1922,Eloise,12
AR,M,1984,Bennie,5
MA,M,1993,Deandre,8
TX,F,2012,Josie,60
NY,M,1962,Thad,6
PA,F,2016,Lennox,9
TX,F,1981,Lucia,52
MN,F,2000,Michaela,42
SC,M,1979,Stanley,29
NJ,M,2015,Alan,57
DC,F,1988,Eileen,6
MD,M,2009,Maddox,21
ID,F,1994,Anna,27
OK,F,2016,Madilynn,12
NY,M,1975,Raheim,8
VA,F,1951,Rhonda,64
OR,F,2009,Reese,26
MO,M,1969,Alva,5
MN,F,1980,Heather,399
MA,F,1976,Mona,6
TX,F,2010,Hudsyn,5
GA,M,1966,Noah,5
CA,M,2016,Briggs,11
AR,F,1944,Laverne,19
IN,F,1958,Rhonda,389
AL,F,1979,Kylie,9
NY,F,1963,Terry,222
MI,M,1941,Ken,26
GA,F,1998,Loren,13
MS,F,1964,Angelia,37
SC,F,1970,Leah,15
OH,M,1911,Nathan,10
TX,M,1987,Jermaine,41
CO,F,1927,Mable,9
SC,M,1973,Brent,23
VA,M,1975,Glen,15
OH,F,1919,Gwendolyn,25
UT,M,1914,Clinton,5
MI,M,1955,Rocco,8
MI,F,1922,Bonnie,25
WI,M,1961,Carey,6
DC,M,1946,Jeffrey,37
CA,M,2004,Jasiel,8
CT,M,1996,Terrance,10
CA,M,1976,Jorje,17
LA,M,1979,Rodrick,18
TX,M,1986,Landon,87
KS,F,1991,Kirstie,14
IN,F,1981,Jessi,9
VA,M,2006,Tristan,131
MS,F,1928,Mona,7
IA,M,2017,Chase,35
MI,F,1986,Kristian,9
PA,F,1925,Johanna,39
AR,F,1941,Lillie,70
AK,F,2005,Bethany,11
OH,F,1991,Gracie,5
IL,M,1917,Garold,5
NC,M,2017,Rihaan,5
MN,M,1931,Darvin,6
NM,F,2001,Delilah,7
TN,F,2006,Joselyn,22
HI,M,1970,Douglas,31
NY,F,1999,Annemarie,8
MI,M,1929,Neil,61
UT,F,1926,Jenny,5
AL,M,1986,Jake,16
MN,M,1929,Joseph,235
TX,M,2014,Corey,68
KS,F,1997,Baylee,22
CA,F,1935,Tania,5
FL,F,1987,Terrika,7
FL,M,1983,Preston,30
LA,F,1975,Lacy,9
KY,M,1932,Teddy,27
OR,F,2010,Ava,154
NM,M,2013,Weston,5
TN,M,1927,Jess,20
