state,sex,year,name,count
IL,F,1980,Lisa,830
TX,F,1927,Ann,135
MO,F,1975,Cherie,24
LA,F,1942,Sharon,105
PA,F,1927,Lulu,10
MN,F,2015,Adalyn,63
TX,M,2005,Lucio,31
TX,F,1962,Susanna,17
OK,F,1978,Maya,5
GA,M,1995,Jacob,825
MO,M,2012,Jayvion,5
TN,F,1963,Selena,6
MD,F,1914,Della,6
WI,F,1968,Mary,571
MD,M,1999,Joseph,401
TX,M,1948,Dewayne,19
KS,F,1971,Sylvia,7
CA,M,1983,Chang,5
IL,M,1944,Clyde,67
CA,F,1997,Lila,23
MS,M,1955,Murphy,7
ID,F,1921,Elda,6
IA,F,1980,Heather,328
NY,M,1924,Rose,5
AR,F,2010,Kylee,29
NY,F,1929,Dawn,30
OR,F,1951,Paula,79
MN,F,2016,Aitana,6
SC,M,1933,Alton,17
FL,M,1938,Emory,9
MN,M,1930,Edgar,14
OH,M,1996,Houston,12
NV,F,2008,Sara,25
OH,M,1953,Arnold,56
ND,F,1922,Florence,92
MA,M,1994,Raymond,69
TX,F,2011,Carter,15
VA,M,1988,Ray,17
MI,M,2001,Deondre,6
NC,F,2013,Lenora,8
IN,F,1975,Caryn,6
IL,F,1974,Jonna,7
TX,F,1931,Amanda,16
NC,M,1929,Graham,18
IN,F,1991,Karli,12
PA,F,1950,Margo,25
CA,M,1929,Melvin,117
UT,F,1927,Mae,11
AZ,F,1990,Valerie,59
IL,M,1972,Marshawn,5
PA,F,2010,Dior,13
MD,M,2000,Dion,8
CA,F,1953,Shanna,5
MO,F,1931,Anita,54
VA,M,1978,Charles,436
NY,F,2005,Janiyah,37
KY,M,1938,Gayle,13
KY,M,1910,Stanley,14
KY,F,1921,Carmie,6
NY,F,1918,Inez,63
SD,M,1947,Virgil,15
MN,F,1938,Ruth,185
IA,M,1948,Dennis,929
CT,M,1974,Craig,78
VA,F,1934,Daisy,32
NM,F,1983,Claire,8
TX,M,1949,Don,338
AL,F,1937,Colleen,7
IN,F,2003,Heavenly,7
OH,M,1922,Irving,24
OK,F,1979,Laci,5
KS,M,1957,Gerald,117
NV,M,2009,Masen,5
LA,F,2010,Haylee,22
LA,M,1964,Shannon,31
WV,F,1964,Patrica,6
CA,F,1980,Dolly,11
NC,M,1992,Jeremy,285
TX,F,1970,Reyna,12
CO,M,1979,Fernando,5
TX,M,1965,Galen,6
IN,M,1974,Garry,21
PA,M,1994,Colten,10
CO,F,1937,Diana,14
MN,F,2006,Maryan,10
OK,F,1951,Mona,23
TX,F,2001,Marleen,6
NE,M,1992,Alec,25
NY,M,1966,Clint,6
IL,F,1912,Melva,6
FL,M,1984,Noel,24
WA,F,1953,Marsha,64
IL,M,1949,Bobby,68
FL,M,1985,Eliezer,6
VA,F,1992,Meredith,71
NC,F,1966,Nadine,12
AZ,M,1970,Jim,23
IN,F,2011,Jaden,5
NJ,M,1949,Jesse,17
KS,F,1915,Ruth,371
AK,F,1919,Jean,6
VA,M,1989,Javon,22
NM,M,1956,Lloyd,13
MN,F,2015,Madalynn,7
OH,M,1941,Ronald,1709
PA,M,2016,Kyler,31
NH,F,1949,Beverly,37
UT,F,2002,Elena,19
MN,F,2009,Amaya,17
KS,M,1941,Sam,9
KY,F,1973,Deena,10
NM,M,1967,Max,11
NY,F,2000,Jillian,287
NE,F,1938,Caroline,16
TN,M,1931,Turner,5
MD,F,1988,Loretta,7
MD,M,1982,Antoine,34
UT,F,1946,Ruth,51
TX,M,1998,Deric,9
IN,F,1961,Nedra,5
PA,M,1953,Troy,8
FL,M,1961,Robby,16
CT,M,1972,Eugene,19
