state,sex,year,name,count
PA,F,2003,Rayna,11
AL,F,1936,Peggie,11
KS,M,1961,Manuel,5
GA,F,2013,Presley,83
MD,F,2017,Batsheva,5
MO,F,1970,Paula,176
MI,M,1964,Toby,13
CO,F,2017,Piper,46
ID,F,2009,Jasmin,6
NJ,F,2011,Keira,66
DC,F,1974,Tonya,31
CA,F,1960,Faye,22
NJ,M,2005,Amogh,7
IL,M,1923,Delmer,10
NY,F,2003,Christen,6
MN,F,1970,Candace,24
MS,M,2007,Liam,12
OH,F,2009,Abigayle,10
CA,F,1949,Kate,7
WA,F,2006,Evie,7
CT,M,1949,Earl,19
IL,F,1936,Iva,11
ME,F,1947,Anna,9
FL,F,1989,Jaqueline,11
HI,M,1958,Phillip,7
TN,F,2007,Lilliana,12
IL,M,2011,Jaylon,6
GA,M,2007,Hollis,7
TX,M,1992,Eliazar,15
TX,F,2000,Dina,16
AZ,F,1981,Justine,7
TX,F,1914,Arline,8
CA,F,2013,Lillith,6
MO,F,1938,Lora,13
MD,M,1960,Randal,11
NY,F,1959,Minnie,8
GA,F,1966,Marie,53
CT,F,1945,Miriam,5
ID,F,1982,Dawn,11
MS,F,1958,Julie,71
TX,M,1925,Nick,10
WA,M,1952,Brent,28
SC,F,1954,Francis,9
CT,F,1950,Jeannette,16
IL,F,1975,Christen,8
TX,F,2003,Kylie,409
TX,F,1915,Ruth,627
TX,M,1984,Lyndon,9
TX,F,1984,Jodie,23
MO,M,2017,Sterling,20
NJ,M,1944,Joseph,1337
NJ,M,1925,Domenick,11
IN,F,1950,Maria,32
OK,F,1958,Vanita,5
CA,M,1955,Bernard,110
OH,F,1985,Kattie,7
KS,M,1943,Earl,70
WV,F,1950,Opal,11
NM,M,2010,Zachary,39
IN,M,1935,Lester,47
PA,F,1943,Lila,12
NY,F,1985,Louisa,14
CO,F,2000,Jasmine,132
MI,F,1934,Noreen,23
TX,F,1962,Lacey,6
MS,M,1915,Lester,39
CA,F,1998,Sidra,5
IN,M,1965,Bryon,14
NM,F,2007,Sasha,5
GA,F,2010,Zamaria,9
AL,F,1953,Jeannette,15
NV,F,2002,Tabitha,7
IA,F,1941,Vivian,30
CA,F,1948,Marti,9
CA,F,1922,Charlotte,100
CA,F,2016,Kaylie,83
IA,F,1914,Erna,11
GA,M,1930,Elijah,33
OR,F,1934,Kay,24
CA,F,1930,Celia,71
OH,F,1946,Francine,52
NC,M,1961,Erwin,7
IL,M,2006,Landin,12
MO,M,2011,Braylen,21
GA,F,1956,Laurel,6
NC,M,1947,Lenwood,13
OH,M,1997,Jarren,8
ID,M,1993,Chandler,5
LA,F,1986,Casey,116
FL,F,1927,Marilyn,34
VT,F,1973,Andrea,22
