state,sex,year,name,count
NJ,F,1981,Lakisha,16
CA,F,1945,Norma,227
TX,F,1981,Ariane,5
PA,F,1934,Anne,287
FL,F,2009,Campbell,18
SC,F,1951,Miriam,43
WY,M,1951,Dave,7
TX,F,1994,Markie,5
CA,M,1971,Tarik,7
WV,F,1974,Cheri,8
IL,F,2002,Eboni,5
FL,M,2005,Jamar,29
CT,F,1997,Zoe,32
MA,M,2006,Trey,15
ME,F,1966,Katrina,7
OR,F,2016,Jordan,9
DC,M,1972,Edwin,7
ME,F,1964,Judy,31
TX,F,1967,Shelley,185
CT,F,1999,Delia,5
DC,M,1956,Curtis,45
HI,M,1958,Warren,26
GA,M,1970,Alphonso,7
KY,F,1934,Irma,12
TX,F,1992,Sloan,10
CT,F,1950,Bonnie,78
TN,F,1985,Elizabeth,365
IN,M,1965,Rickie,7
OK,M,2014,Stetson,19
WA,F,2001,Tristan,6
FL,M,1998,Demarco,7
MS,F,1986,Theresa,11
NC,M,1990,Jonah,8
OK,M,1982,Jace,5
KY,M,1965,Marc,23
MS,M,1927,Emerson,5
HI,M,1976,Darin,8
OH,M,1994,Jered,8
NV,F,1965,Anita,7
MI,M,1976,Jasen,10
MT,F,1995,Kennedy,9
TX,F,1973,Tyra,10
CA,M,1974,Dewayne,29
PA,M,1927,Ernest,352
OH,F,2007,Nicolette,8
NY,F,1983,Paris,8
MN,F,1982,Samantha,140
IL,M,2014,Xavi,7
WI,F,1936,Nancy,677
CA,M,1948,Kris,8
CA,M,1954,Dolores,5
WA,M,1979,Rudy,7
IL,M,2007,Reagan,7
TX,M,1923,Armand,5
SD,F,2008,Reese,13
UT,M,1965,Kirk,32
MN,F,1995,Katelyn,119
RI,M,1949,Jerry,9
LA,M,2016,Casen,12
CA,M,1954,Shannon,17
NJ,M,1972,Clifford,40
AZ,M,1984,Orlando,27
KS,F,1995,Nikki,6
NJ,F,1984,Aliyah,8
NY,F,1917,Diana,40
RI,M,2016,Jayceon,7
CT,F,1967,Sandi,5
TN,M,2014,Marcus,52
NJ,F,1983,Liana,6
MA,M,1985,Christopher,1553
MD,M,1954,Thaddeus,8
NM,F,1963,Dena,7
WY,M,1962,Ralph,5
WA,M,1992,Tony,21
ND,M,1920,Allen,23
DE,M,1955,Randall,10
CA,F,2015,Dalina,7
MD,F,1967,Shelly,53
CA,M,2006,Jeramiah,32
OH,F,1983,Alisha,115
IA,F,2015,Lena,27
OH,F,1980,Nikisha,7
AR,F,1974,Sonja,11
NE,F,2010,Bree,5
GA,M,1983,Irvin,5
LA,M,2004,Amar,5
CA,M,2000,Eder,12
LA,F,1981,Jeri,9
