state,sex,year,name,count
OK,M,1940,Russell,37
OK,M,1929,Gearld,5
WI,F,2016,Ezra,8
PA,F,1990,Fannie,18
AR,F,1916,Bessie,122
WY,F,1982,Lindsay,23
NC,M,1987,Shea,5
CA,M,1991,Jilberto,6
PA,F,1952,Geneva,12
NY,F,1974,Betzaida,8
CA,F,1930,Leonor,15
TN,M,1942,Earl,154
TX,F,2007,Landry,57
NY,F,2013,Liba,19
PA,M,1969,Dan,40
NC,F,1982,Tierra,9
IA,M,1948,Leo,31
OH,M,2016,Tristian,10
TX,F,2007,Kyndra,13
WA,F,2000,Kaylyn,6
AR,F,1947,Marie,42
OK,F,1983,Colleen,7
OR,F,1978,Miranda,24
TX,M,1970,Fredrick,73
NM,F,1987,Jacquelyn,14
PA,M,1923,Gaetano,10
MS,M,1994,Blake,50
MA,M,1982,Duncan,6
TX,F,1937,Eliza,16
OR,M,1972,Louis,6
TX,F,1948,Dina,5
FL,M,2008,Gerard,6
IN,M,1913,Glenn,32
AR,F,1928,Sybil,21
NY,M,2012,Raj,9
CA,M,1984,Lam,9
MN,M,1990,Omar,6
ND,F,1994,Marissa,20
ID,F,1927,Louise,16
MD,M,2005,Jason,197
NE,F,1996,Rachelle,7
NC,M,1978,Tavaris,5
IA,F,2009,Raven,8
MS,M,1951,Clarence,132
NY,M,1937,Antonio,17
TX,M,1959,Reginal,5
MA,F,1949,Ronda,7
CA,F,1985,Katee,5
NE,M,2013,Elliott,17
OK,F,1942,Millie,7
MA,F,1929,Angelina,42
ME,M,1962,Geoffrey,5
LA,F,2009,Unique,5
IL,F,1996,Abbey,35
CA,F,1995,Bryanna,99
NM,M,1923,Willie,20
MT,M,1956,Todd,9
NV,M,1977,Brad,6
KS,F,1967,Eva,8
CA,M,1927,Merton,7
IL,F,1930,Robin,5
WV,F,1982,Candi,7
MI,M,2013,Corbin,46
WV,F,1910,Julia,33
MO,M,1918,Harold,463
WV,M,1962,Clarence,26
WI,M,2004,Sean,92
TN,M,2016,Ian,89
ND,M,2017,Jasper,10
NH,M,1994,Frank,5
MI,F,2003,Charlie,11
ME,F,1965,Yvonne,6
NJ,F,1978,Iesha,5
MT,M,1976,Curtis,20
AZ,M,1951,Chris,7
HI,M,1983,Stephen,40
TN,F,1939,Mollie,11
MN,F,1917,Jayne,6
RI,F,1926,Etta,5
ND,F,1964,Renae,17
IL,F,1967,Nancy,615
MS,M,1990,Hakeem,10
NY,M,1998,Donell,5
KY,F,1933,Exie,5
KS,M,1995,Seth,45
MN,F,2014,Nadine,5
WA,F,1947,Faye,13
IN,F,1938,Ethel,49
OH,F,1916,Carmen,15
AK,F,2016,Grace,19
TX,F,1952,Delfina,26
MT,F,2007,Josephine,8
MO,F,2012,Skyla,10
KY,F,1939,Lora,13
CT,F,1985,Hannah,19
VA,M,1961,Tracy,75
TX,F,1997,Joely,9
AL,M,1990,Colin,26
NC,F,2010,Zariya,6
CA,F,1955,Jeannette,77
FL,F,1995,Tameka,7
TN,M,1938,Arthur,78
AZ,F,2001,Callie,13
IL,F,1997,Miya,9
IL,F,2001,Jessalyn,5
NM,M,2006,Gary,5
VA,M,2008,Deacon,7
WI,F,2002,Daisy,14
MI,F,1939,Rosella,9
IL,F,2007,Joscelyn,7
TX,F,1945,Lucille,62
VA,F,2006,Asia,26
TX,F,2007,Ciarra,11
CA,M,1960,Mikel,17
DC,M,2016,Leonardo,15
TX,F,1981,Bonnie,168
SC,F,2007,Charley,7
CA,M,1979,Alberto,273
NC,F,1920,Cleopatra,5
AL,F,2002,Katrina,11
CA,F,2000,Keyera,6
WI,M,1992,Jake,86
IL,M,1996,Rocco,5
MA,M,1958,Seth,11
MN,M,2011,Koen,5
WV,F,1988,Shasta,7
IN,F,2004,Jacklyn,7
MD,M,1968,Vincent,67
MD,M,1930,Julian,6
AZ,F,1962,Leann,9
CA,M,1993,Chace,6
NY,F,1994,Karissa,49
SD,F,1921,Gwen,5
MO,F,1927,Ima,7
MN,F,1921,Marguerite,66
KY,M,1924,Charles,1179
WI,M,1987,Jarred,8
MO,F,2005,Tierra,6
TX,F,1915,Neoma,5
IL,F,1923,Toby,5
ME,M,1912,Alfred,18
TN,F,1980,Trina,8
TX,F,2015,Paulina,78
OR,F,1926,Sylvia,14
MD,M,1984,Douglas,81
HI,F,1974,Rosemarie,8
NE,M,1996,Miguel,12
MS,F,1993,Krista,11
IN,F,1911,Phyllis,8
DE,M,1954,Nicholas,5
SC,M,1925,Aaron,22
TX,F,1929,Syble,19
MN,F,1944,Janette,9
NY,M,1998,Reilly,9
NC,M,1947,Erwin,5
