state,sex,year,name,count
WA,M,1984,Kyler,6
NY,F,1988,Raizy,19
MS,M,1951,Terrell,10
ID,M,2009,Alex,20
WV,M,2005,Gregory,18
TN,M,1924,Millard,21
SC,F,2016,Ashlyn,14
VA,M,1940,Reuben,9
NJ,F,1943,Lenora,9
CA,F,1995,Josselyn,16
GA,F,2008,Laci,10
FL,M,2012,Jacobo,7
CT,M,2016,Beckham,6
IA,F,1941,Jeanine,6
LA,M,1928,Hubert,38
VT,F,1973,Debra,11
DC,M,1927,Eugene,26
KY,F,1916,Cornelia,12
CT,F,2011,Janiyah,11
CA,F,1989,Meaghan,46
MN,M,1957,Geoffrey,15
CA,F,1998,Orion,5
CT,F,2013,Sherlyn,6
IL,M,1968,Rhett,5
PA,M,2011,Boston,7
FL,F,1993,Talia,24
CA,F,1988,Rosalba,30
CO,F,1957,Liz,8
AR,F,1954,Beatrice,18
MI,F,1933,Margot,9
IL,F,2003,Aubree,12
MD,F,1982,Trisha,13
MS,F,1914,Flora,55
MI,F,1953,Cynthia,1295
OK,M,1972,John,510
ID,F,1978,Meghan,7
MD,F,2014,Laylah,10
TX,F,1978,Bonnie,79
PA,F,1980,Lakisha,22
NH,F,1986,Caitlyn,10
ND,M,1980,David,112
TX,M,2002,Kenyon,16
ND,M,1993,Ross,5
WV,F,1929,Lee,7
NC,M,1933,Delma,6
CA,F,2006,Lilyana,73
MA,M,1918,Patsy,16
MO,M,1976,Archie,6
KY,F,1978,Lillian,5
GA,F,1953,Peggy,308
TX,F,1986,Nikole,11
IN,M,1982,Dwayne,15
KS,M,1931,Dave,7
KS,F,1975,Cari,12
VA,F,1957,Gretchen,9
NC,M,1960,Elton,26
NM,M,1955,Gerald,52
PA,F,2007,Alayna,68
FL,M,2017,Matthew,910
AZ,F,1961,Corina,11
CO,M,1962,Chuck,12
CA,F,1921,Chizuko,10
KY,F,2017,Dylan,12
WI,F,1922,Cecile,7
CA,F,1958,Sigrid,6
CA,F,1971,Sarah,474
NY,F,1990,Amber,523
FL,F,1984,Leanne,26
WI,F,1933,Myrtle,25
GA,F,1959,Stacie,7
MS,M,1920,Sam,122
NC,M,2010,Jaydin,11
FL,F,2003,Kaily,9
AK,F,1982,Lori,5
MS,F,1918,Pearl,53
TX,F,1965,Bennie,8
GA,F,1997,Claire,68
CT,F,2012,Alani,9
ND,M,1991,Cameron,18
MS,F,1939,Sonja,6
FL,F,1982,Christal,15
OK,M,2010,Dakota,38
MO,M,1968,Darnell,15
OK,M,1931,Carlos,8
MT,M,1919,Clifford,27
ID,F,2000,Brenda,7
NC,M,2016,Westley,6
AL,M,2011,Carter,145
TX,M,1919,Roland,55
NY,M,1943,Stanley,552
PA,F,1935,Mamie,11
MS,F,1916,Billie,13
FL,M,1958,Lionel,12
DE,M,1931,Herbert,7
MO,F,1918,Beverly,10
MO,M,2001,Mason,221
UT,M,2010,Jesus,43
IL,F,2012,Jamya,10
CA,M,1962,Gregg,177
MI,M,1951,Frankie,12
NM,M,1924,Ernest,49
OH,M,1985,Ralph,33
NY,F,1993,Viola,5
OK,F,2007,Carolyn,7
TX,F,1989,Lorene,5
NC,F,1969,Camille,22
CA,M,1950,Marvin,160
DC,M,1991,Adam,40
VA,M,1941,Jan,5
PA,F,1957,Larry,6
MD,F,1920,Edythe,11
TN,F,1970,Kerri,16
KY,F,1983,Dorothea,5
IA,F,1960,Eileen,24
NM,M,1989,Ricardo,21
TN,F,1974,Cherie,17
WV,F,1998,Dakota,16
CO,M,2007,Josias,5
IL,M,1922,Alva,14
NJ,F,1970,Elsie,5
VA,F,1978,Janice,21
HI,F,1935,Hiroko,6
ME,F,1964,Virginia,16
MD,F,1935,Elsie,53
GA,M,1999,Aaron,271
TX,M,1966,Garrick,5
SC,F,1954,Celeste,7
NE,M,1919,Clayton,26
CO,M,1989,Nathanial,8
MD,F,1996,Brandy,31
NE,F,1919,Phyllis,71
TN,F,1992,Cayce,8
