state,sex,year,name,count
NY,M,2016,Jordi,12
MD,M,1940,Willie,14
CA,F,1968,Maura,22
TX,F,1988,Aleshia,9
TX,F,1991,Brittani,107
CO,M,1996,Blake,88
FL,F,1964,Ginny,9
UT,F,2010,Wren,5
WA,M,1963,Johnny,23
NE,F,1919,Velma,54
OH,F,1989,Candace,81
ID,F,1957,Kelly,27
IL,F,1993,Rosario,15
NY,F,1952,Kathrine,7
NJ,M,1926,Elvin,5
TX,F,1932,Soledad,13
NH,F,2000,Quinn,6
TX,M,1966,Adolph,13
LA,M,1969,Albert,88
PA,F,2015,Haley,37
IA,F,2009,Gracelyn,10
DE,M,2002,Maxwell,9
CA,F,1942,Marguerite,30
TX,F,2015,Jaylah,93
MO,F,1930,Zelda,7
NJ,M,1996,Kristopher,29
CA,F,1978,Lynda,34
AL,M,1961,Wilbert,21
MI,M,2015,Kyson,8
MI,F,2003,Allisyn,5
OK,M,1995,Donnie,5
TX,F,1960,Marguerite,13
GA,F,2014,Karter,17
MA,M,1926,Peter,230
MS,F,1918,Idella,14
PA,F,2007,Maddison,37
MS,F,1920,Corene,10
UT,F,2011,Cassandra,8
OH,F,1950,Marcia,393
NM,M,1987,Richard,115
MI,M,1963,Johnathan,6
RI,F,1963,Irene,6
OH,M,1915,Robert,2199
NM,M,1960,James,405
WI,F,1993,Devan,7
WI,F,1978,Sylvia,10
SC,F,2017,Milan,9
TX,M,2009,Gunner,83
MS,M,1987,Corey,106
NY,F,1980,Shaindy,15
WY,F,1918,Anne,11
KY,F,1988,Stevie,11
OR,M,2009,Abel,20
AL,M,1954,Wallace,37
TX,F,1972,Shemeka,5
VA,F,1925,Anne,103
NY,F,1977,Nikol,5
VT,M,1927,Neal,6
FL,F,2010,Lorelai,18
VA,F,2012,Aubrie,21
SD,M,1992,Vincent,6
GA,M,1928,Homer,83
NC,M,1987,William,1009
CA,M,1970,Jud,5
MO,F,1990,Kaylee,34
SD,F,1971,Janet,13
MO,F,2009,Esther,25
LA,M,2003,Jamarcus,8
IL,F,1952,Ronald,5
MO,F,2006,Autumn,91
NC,F,2007,Landry,8
MN,M,2015,Shawn,12
MA,F,1968,Sally,34
PA,F,1922,Berenice,5
IA,M,1968,Clifford,20
CA,F,2004,Zaniya,5
MT,M,1946,Donald,135
WI,F,1919,Elnora,10
NY,F,1989,Female,20
CA,F,1988,Lena,72
TX,M,1920,Adell,5
NC,F,2003,Myra,8
NJ,F,1937,Charlene,12
OH,F,1935,Celia,11
CA,M,1933,Garry,12
TX,F,2007,Makayla,495
OK,F,2001,Gillian,7
NY,F,1973,Cherita,5
CO,M,1985,Brandon,450
OH,F,2015,Vienna,6
FL,F,2017,Maisy,5
WY,M,1968,George,13
MO,F,1990,Dawn,23
MD,F,1974,Simone,6
OK,M,1988,Bobby,45
MI,M,1969,Joshua,38
MO,M,1997,Stephon,7
CA,F,2009,Samarah,8
PA,M,2007,Dominic,340
MN,M,1988,Geoffrey,24
NY,F,1994,Christy,29
MO,F,1974,Tracy,282
IL,F,1965,Kimberlie,8
IL,M,2002,Juancarlos,5
IA,M,1998,Brandan,7
SC,M,1927,Daniel,84
OK,M,1995,Oscar,9
RI,F,2001,Brittney,5
TX,M,1996,Scottie,7
CA,M,2005,Celso,10
FL,F,2017,Giselle,72
NY,F,1948,Manuela,5
ME,M,1990,Devin,33
MD,M,1922,Nickolas,5
NY,F,1927,Beverley,17
NC,M,1988,Connor,9
OK,M,1997,Isiah,8
CA,F,1965,Abby,13
MA,F,1943,Ann,558
AR,F,1964,Shelia,81
MO,M,1923,Emil,29
MD,M,2011,Darius,26
MI,M,1970,Homer,7
IL,F,1961,Erma,10
GA,F,2007,Treasure,13
KY,F,1999,Christen,6
OK,F,1950,Sue,86
NV,F,1999,Ruth,8
IN,M,2012,Cael,5
OR,M,1953,Lonny,6
WA,F,1954,Rena,7
TX,M,2007,Elier,7
OK,M,1989,Bryant,16
ND,M,1933,Michael,13
NY,M,2004,Nasean,6
TX,F,2002,Desire,15
CA,M,1992,Kodie,6
VA,F,2015,Braelynn,18
AK,F,1962,Joann,7
TX,M,2017,Uziel,5
MD,M,2007,Leon,5
SC,F,1911,Mae,31
