state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100001,Fort Rucker School District,KG,12,232935772,2801707,89.93700000000001,1.082,31.409737,-85.745807,2018
AL,0100003,Maxwell AFB School District,KG,12,8706782,372428,3.362,0.14400000000000002,32.380944,-86.363749,2018
AL,0100005,Albertville City School District,KG,12,69358644,258708,26.78,0.1,34.26313,-86.21066,2018
AL,0100006,Marshall County School District,PK,12,1266356245,103642466,488.94300000000004,40.016999999999996,34.373896,-86.344229,2018
AL,0100007,Hoover City School District,KG,12,122561225,2541185,47.321000000000005,0.981,33.376948999999996,-86.80557900000001,2018
AL,0100008,Madison City School District,PK,12,78518552,356837,30.316,0.138,34.710533,-86.76228,2018
AL,0100011,Leeds City School District,KG,12,58231598,566101,22.483,0.21899999999999997,33.546847,-86.571448,2018
AL,0100012,Boaz City School District,PK,12,37683448,161880,14.55,0.063,34.199020000000004,-86.155151,2018
AL,0100013,Trussville City School District,KG,12,87686742,1318142,33.856,0.509,33.655233,-86.56324000000001,2018
AL,0100030,Alexander City City School District,KG,12,246666759,43846407,95.23899999999999,16.929000000000002,32.869021999999994,-85.951083,2018
AL,0100060,Andalusia City School District,KG,12,50911855,405912,19.657,0.157,31.309435999999998,-86.478031,2018
AL,0100090,Anniston City School District,PK,12,118091474,179313,45.595,0.069,33.673435,-85.810937,2018
AL,0100100,Arab City School District,PK,12,34511834,343242,13.325,0.133,34.332387,-86.50116700000001,2018
AL,0100120,Athens City School District,KG,12,103236667,665558,39.86,0.257,34.779021,-86.950799,2018
AL,0100180,Attalla City School District,PK,12,18079282,0,6.98,0.0,33.986189,-86.121037,2018
AL,0100185,Saraland City School District,KG,12,80067843,573130,30.914,0.221,30.854575,-88.10990699999999,2018
AL,0100188,Chickasaw City School District,PK,12,10894951,908483,4.207,0.35100000000000003,30.77145,-88.079697,2018
AL,0100189,Satsuma City School District,PK,12,18995523,122490,7.334,0.047,30.857874,-88.063383,2018
AL,0100190,Alabaster City School District,KG,12,65377378,806152,25.241999999999997,0.311,33.226936,-86.761015,2018
AL,0100194,Pelham City School District,KG,12,100552563,1311246,38.824,0.506,33.32183,-86.74219699999999,2018
AL,0100210,Auburn City School District,PK,12,155748728,2638308,60.135,1.0190000000000001,32.607721999999995,-85.48954499999999,2018
AL,0100240,Autauga County School District,KG,12,1539602123,25706961,594.444,9.926,32.532237,-86.64644,2018
AL,0100270,Baldwin County School District,PK,12,4117546676,1133055836,1589.7939999999999,437.475,30.659218,-87.74606700000001,2018
