combined_state_area_code,geoid,name,metro_status_ind,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
434.0,10260,"Adjuntas, PR Micro Area",2,172725731,1051789,66.69,0.406,18.181611,-66.758165,2018
220.0,10300,"Adrian, MI Micro Area",2,1941541486,30482189,749.633,11.769,41.896021999999995,-84.07435600000001,2018
184.0,10420,"Akron, OH Metro Area",1,2331552026,62086003,900.217,23.971999999999998,41.146639,-81.35011,2018
440.0,10540,"Albany, OR Metro Area",1,5923636964,50354267,2287.129,19.442,44.488898,-122.537208,2018
104.0,10580,"Albany-Schenectady-Troy, NY Metro Area",1,7282214082,172506034,2811.679,66.605,42.78792,-73.942348,2018
172.0,10620,"Albemarle, NC Micro Area",2,1023370459,25242751,395.126,9.746,35.310449,-80.254374,2018
290.0,10700,"Albertville, AL Micro Area",2,1465531860,148495464,565.845,57.333999999999996,34.309564,-86.321668,2018
106.0,10740,"Albuquerque, NM Metro Area",1,24043709785,31770733,9283.329,12.267000000000001,35.123496,-106.45839199999999,2018
142.0,10760,"Alexander City, AL Micro Area",2,1855782851,128806123,716.5219999999999,49.732,32.863308,-85.79961800000001,2018
204.0,10860,"Alice, TX Micro Area",2,2240779987,8739522,865.17,3.3739999999999997,27.733515999999998,-98.090814,2018
408.0,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,3762849882,58422466,1452.845,22.557,40.789339,-75.398158,2018
394.0,10940,"Alma, MI Micro Area",2,1472098936,8369164,568.381,3.2310000000000003,43.292326,-84.60469,2018
108.0,11100,"Amarillo, TX Metro Area",1,13338911474,87011698,5150.183,33.595,35.247896999999995,-101.908638,2018
218.0,11180,"Ames, IA Metro Area",1,1483295645,2449263,572.7040000000001,0.946,42.037538,-93.466093,2018
104.0,11220,"Amsterdam, NY Micro Area",2,1044066971,18599188,403.11699999999996,7.181,42.900890999999994,-74.435357,2018
258.0,11420,"Angola, IN Micro Area",2,799729302,35454787,308.777,13.689,41.643467,-85.00240500000001,2018
220.0,11460,"Ann Arbor, MI Metro Area",1,1828460768,42602260,705.9730000000001,16.449,42.252217,-83.843423,2018
