state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
AL,0100195,Pike Road City School District,KG,12,81830289,758331,31.595,0.293,32.274993,-86.02787099999999,2017
AZ,0400004,Clarkdale-Jerome Elementary District,PK,8,211351941,380983,81.60300000000001,0.147,34.748857,-112.11202800000001,2017
AZ,0400005,Salome Consolidated Elementary District,PK,8,1551915214,37430,599.198,0.013999999999999999,33.598773,-113.82446399999999,2017
AZ,0400022,Vernon Elementary District,KG,12,565402511,517748,218.303,0.2,34.215664000000004,-109.691538,2017
AZ,0400480,Aguila Elementary District,KG,12,724565973,0,279.756,0.0,33.816484,-113.23601399999998,2017
AZ,0400600,Alhambra Elementary District,PK,8,32858328,53404,12.687000000000001,0.021,33.508562,-112.136459,2017
AZ,0400630,Alpine Elementary District,KG,12,452275119,1413906,174.62400000000002,0.546,33.804241999999995,-109.24529299999999,2017
AZ,0400750,Apache Elementary District,KG,12,656526484,1250405,253.486,0.483,31.668567,-109.161432,2017
AZ,0400840,Arlington Elementary District,PK,8,1833717910,53343,708.002,0.021,33.335485999999996,-113.047754,2017
AZ,0400870,Ash Creek Elementary District,PK,8,530664910,232916,204.891,0.09,31.879056,-109.53971299999999,2017
AZ,0400960,Avondale Elementary District,PK,8,74321492,34133,28.695999999999998,0.013000000000000001,33.431745,-112.38656200000001,2017
AZ,0401050,Balsz Elementary District,PK,8,22638025,117790,8.741,0.045,33.461859999999994,-111.973578,2017
AZ,0401080,Beaver Creek Elementary District,KG,12,472224535,36349,182.327,0.013999999999999999,34.694722999999996,-111.673152,2017
AZ,0401230,Blue Elementary District,PK,12,1076522943,715952,415.648,0.276,33.510721999999994,-109.129127,2017
AZ,0401260,Bonita Elementary District,KG,12,1605422648,319501,619.857,0.12300000000000001,32.56834,-110.137147,2017
AZ,0401290,Bouse Elementary District,PK,8,1776099252,581304,685.7560000000001,0.22399999999999998,33.943023,-114.022029,2017
AZ,0401380,Buckeye Elementary District,PK,8,486508217,0,187.842,0.0,33.266534,-112.596065,2017
AZ,0401500,Bullhead City School District,PK,8,1162706226,51309997,448.923,19.811,35.362569,-114.54291699999999,2017
AZ,0401650,Canon Elementary District,KG,12,442869529,0,170.993,0.0,34.205508,-112.214545,2017
AZ,0401680,Cartwright Elementary District,PK,8,36423333,56987,14.062999999999999,0.022000000000000002,33.485719,-112.197374,2017
AZ,0401710,Casa Grande Elementary District,PK,8,926108090,338527,357.57199999999995,0.131,32.836488,-111.790951,2017
AZ,0401920,Chevelon Butte School District,KG,12,1617206679,2034364,624.4069999999999,0.785,34.520070000000004,-110.94983799999999,2017
AZ,0402130,Cochise Elementary District,KG,12,240750370,39908820,92.954,15.409,32.107811,-110.004782,2017
AZ,0402190,Concho Elementary District,PK,12,951128580,1339459,367.233,0.517,34.444949,-109.70953100000001,2017
AZ,0402220,Congress Elementary District,KG,12,2424568929,134194,936.1310000000001,0.052000000000000005,34.19585,-113.04181499999999,2017
AZ,0402250,Continental Elementary District,PK,12,378300925,60281,146.063,0.023,31.8113,-110.93108500000001,2017
AZ,0402370,Cottonwood-Oak Creek Elementary District,PK,8,1108949179,20784,428.168,0.008,34.845766999999995,-112.04055600000001,2017
AZ,0402400,Crane Elementary District,PK,8,117184807,1140826,45.245,0.44,32.6727,-114.68935900000001,2017
AZ,0402430,Creighton Elementary District,PK,8,30500713,89504,11.776,0.035,33.493157000000004,-112.01406399999999,2017
AZ,0402460,Crown King Elementary District,KG,12,213599375,15578,82.471,0.006,34.192694,-112.31954499999999,2017
AZ,0402490,Double Adobe Elementary District,KG,12,101220214,27065,39.080999999999996,0.01,31.487678999999996,-109.66981499999999,2017
AZ,0402710,Eagle Elementary District,KG,12,1476106728,593842,569.928,0.22899999999999998,33.48343,-109.282928,2017
AZ,0402760,Elfrida Elementary District,PK,8,419297241,188440,161.892,0.073,31.744840000000003,-109.645312,2017
AZ,0402790,Eloy Elementary District,PK,8,770298211,238569,297.414,0.092,32.613322,-111.596383,2017
AZ,0402820,Empire Elementary District,KG,12,577592543,0,223.01,0.0,31.820859000000002,-110.592605,2017
AZ,0403060,Fowler Elementary District,PK,8,32577750,0,12.578,0.0,33.43376,-112.21521100000001,2017
AZ,0403240,Gadsden Elementary District,PK,8,78284511,357118,30.226,0.138,32.532483,-114.773978,2017
AZ,0403420,Glendale Elementary District,PK,8,41073101,7542,15.857999999999999,0.003,33.540223,-112.196955,2017
AZ,0403660,Hackberry School District,PK,12,2162189395,3150253,834.826,1.216,35.544283,-113.75256999999999,2017
AZ,0403900,Hyder Elementary District,PK,8,1189324761,0,459.20099999999996,0.0,32.943507000000004,-113.49788899999999,2017
AZ,0403960,Isaac Elementary District,PK,8,15737027,7173,6.0760000000000005,0.003,33.466703,-112.143726,2017
AZ,0404170,Kirkland Elementary District,KG,12,436796979,0,168.648,0.0,34.403966,-112.64275500000001,2017
